subject,age,education,ethnicity,gender,gender_other,language,marital,origin,race,race_other,strat_categorize_aud,strat_categorize_vis,strat_image_aud,strat_image_vis,strat_rehearsal_aud,strat_rehearsal_vis,strat_spatial_aud,strat_spatial_vis,strat_story_aud,strat_story_vis,strat_other,wrote_notes,distracted
A10HW8JXM17XLD:3YZ8UPK3VUT4QIS8JL68G3AH89YUCK,,Bachelor's degree,Not Hispanic,Female,,,Divorced,Afghanistan,White,,0,0,0,0,0,,0,0,,,,,
A1BDPHQIAOC1WB:3S4AW7T80CPYCOSZHS8P6I2A3674L8,,Not Reported,Not Reported,Not Reported,,Not Reported,Not Reported,Not Reported,Not Reported,,,,,,,,,,,,,,
A1K8VUKRL53OX:3VHP9MDGRORF70VIOWB9U39EYJMCF0,,Not Reported,Not Reported,Not Reported,,Not Reported,Not Reported,Not Reported,Not Reported,,,,,,,,,,,,,,
A1RV2LERVS0A4H:36AHBNMV1SJVCJIRTIY83UYCPYLDY3,34,Bachelor's degree,Not Hispanic,Female,,english,Single,United States,Asian,,0,0,0,0,0,,0,0,,,,,
A1T643M1P572AA:3VFJCI1K406PR2GWHD7M1J8CZ2NGRD,,Associate degree,Not Hispanic,Male,,,Married/Domestic Partnership,Afghanistan,White,,0,0,0,0,0,,0,0,,,,,
A1YV70F2NTOYZU:3X1FV8S5JYYHK9XDQXCW2GXFK80GV6,,Master's degree,Hispanic,Male,,,Married/Domestic Partnership,Afghanistan,White,,0,0,0,0,0,,0,0,,,,,
A2CT57W84KXX25:39DD6S19JQI09F6WLZBBNJPZV3QZE7,,Not Reported,Not Reported,Not Reported,,Not Reported,Not Reported,Not Reported,Not Reported,,,,,,,,,,,,,,
A2O4XAP7RMWJJ4:3WETL7AQWUFZS36APRNZFOE73FT53G,,Bachelor's degree,Not Hispanic,Male,,,Married/Domestic Partnership,Afghanistan,White,,0,0,0,0,0,,0,0,,,,,
A2X6JK36FJ3G3E:34HJIJKLP6318T4TVWAVTR0CU3R4V7,,Master's degree,Not Hispanic,Male,,,Married/Domestic Partnership,Afghanistan,White,,0,0,0,0,0,,1,0,,,,,
A30HUZHJBOX1LK:3QBD8R3Z22Q6I9VWUKOHYZ64YAU4O5,,Master's degree,Not Hispanic,Male,,,Married/Domestic Partnership,Afghanistan,White,,0,0,0,0,0,,0,0,,,,,
A3609GDWR2JCCA:33L7PJKHCH5NE2N6240T9LSWZ478T2,,Some college,Not Hispanic,Female,,,Single,Afghanistan,Black,,0,0,0,0,0,,0,0,,,,,
A77EN6TMUN0ZM:37TRT2X24RYC2XP8TM6ZYHVO981BJZ,,Bachelor's degree,Not Hispanic,Male,,,Married/Domestic Partnership,Afghanistan,White,,0,0,0,0,0,,1,0,,,,,
AIMISGP5O86T4:38F5OAUN5OJT9FRSS5RYH2TDDN8H7A,,Bachelor's degree,Not Hispanic,Male,,,Married/Domestic Partnership,Afghanistan,White,,0,0,0,0,0,,1,0,,,,,
AX517DWAA1ECY:3U5JL4WY5LGTCI9OVBBDHCXXAEYX42,,Bachelor's degree,Hispanic,Male,,,Married/Domestic Partnership,Afghanistan,Native Hawaiian/Pacific Islander,,0,0,0,0,0,,0,0,,,,,
